                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.12844,                 1.7644,                 0.9392,                0.52853,                0.55308,                0.42205,                0.42106,                0.15453,                 1.5709,                0.25447,             0.00027745,             0.00027745,             0.00027745
                      2,                0.08272,                 1.2308,                0.89943,                0.54558,                0.58549,                0.53942,                0.53643,                0.16822,                 1.1405,                0.26008,             0.00049405,             0.00049405,             0.00049405
